Lyrics,pos,pos_score,neg,neg_score,total,total_score
378번,긍정,1,부정,7,점수,6
379번,긍정,9,부정,10,점수,1
380번,긍정,6,부정,7,점수,1
381번,긍정,1,부정,4,점수,3
382번,긍정,2,부정,2,점수,0
383번,긍정,3,부정,8,점수,5
384번,긍정,6,부정,1,점수,-5
385번,긍정,2,부정,5,점수,3
386번,긍정,4,부정,5,점수,1
387번,긍정,7,부정,5,점수,-2
388번,긍정,7,부정,4,점수,-3
389번,긍정,7,부정,6,점수,-1
390번,긍정,9,부정,6,점수,-3
391번,긍정,4,부정,3,점수,-1
392번,긍정,4,부정,7,점수,3
393번,긍정,10,부정,14,점수,4
394번,긍정,4,부정,10,점수,6
